item_id,title,category,tags,description,popularity
item_1,喜剧片电影第1部,喜剧片,"新上映,推荐",这是一部精彩的喜剧片，讲述了一个动人的故事。,99
item_2,爱情片电影第2部,爱情片,"高分,获奖",这是一部精彩的爱情片，讲述了一个动人的故事。,98
item_3,科幻片电影第3部,科幻片,"小众,文艺",这是一部精彩的科幻片，讲述了一个动人的故事。,97
item_4,悬疑片电影第4部,悬疑片,"热门,经典",这是一部精彩的悬疑片，讲述了一个动人的故事。,96
item_5,动画片电影第5部,动画片,"新上映,推荐",这是一部精彩的动画片，讲述了一个动人的故事。,95
item_6,纪录片电影第6部,纪录片,"高分,获奖",这是一部精彩的纪录片，讲述了一个动人的故事。,94
item_7,恐怖片电影第7部,恐怖片,"小众,文艺",这是一部精彩的恐怖片，讲述了一个动人的故事。,93
item_8,动作片电影第8部,动作片,"热门,经典",这是一部精彩的动作片，讲述了一个动人的故事。,92
item_9,喜剧片电影第9部,喜剧片,"新上映,推荐",这是一部精彩的喜剧片，讲述了一个动人的故事。,91
item_10,爱情片电影第10部,爱情片,"高分,获奖",这是一部精彩的爱情片，讲述了一个动人的故事。,90
item_11,科幻片电影第11部,科幻片,"小众,文艺",这是一部精彩的科幻片，讲述了一个动人的故事。,89
item_12,悬疑片电影第12部,悬疑片,"热门,经典",这是一部精彩的悬疑片，讲述了一个动人的故事。,88
item_13,动画片电影第13部,动画片,"新上映,推荐",这是一部精彩的动画片，讲述了一个动人的故事。,87
item_14,纪录片电影第14部,纪录片,"高分,获奖",这是一部精彩的纪录片，讲述了一个动人的故事。,86
item_15,恐怖片电影第15部,恐怖片,"小众,文艺",这是一部精彩的恐怖片，讲述了一个动人的故事。,85
item_16,动作片电影第16部,动作片,"热门,经典",这是一部精彩的动作片，讲述了一个动人的故事。,84
item_17,喜剧片电影第17部,喜剧片,"新上映,推荐",这是一部精彩的喜剧片，讲述了一个动人的故事。,83
item_18,爱情片电影第18部,爱情片,"高分,获奖",这是一部精彩的爱情片，讲述了一个动人的故事。,82
item_19,科幻片电影第19部,科幻片,"小众,文艺",这是一部精彩的科幻片，讲述了一个动人的故事。,81
item_20,悬疑片电影第20部,悬疑片,"热门,经典",这是一部精彩的悬疑片，讲述了一个动人的故事。,80
item_21,动画片电影第21部,动画片,"新上映,推荐",这是一部精彩的动画片，讲述了一个动人的故事。,79
item_22,纪录片电影第22部,纪录片,"高分,获奖",这是一部精彩的纪录片，讲述了一个动人的故事。,78
item_23,恐怖片电影第23部,恐怖片,"小众,文艺",这是一部精彩的恐怖片，讲述了一个动人的故事。,77
item_24,动作片电影第24部,动作片,"热门,经典",这是一部精彩的动作片，讲述了一个动人的故事。,76
item_25,喜剧片电影第25部,喜剧片,"新上映,推荐",这是一部精彩的喜剧片，讲述了一个动人的故事。,75
item_26,爱情片电影第26部,爱情片,"高分,获奖",这是一部精彩的爱情片，讲述了一个动人的故事。,74
item_27,科幻片电影第27部,科幻片,"小众,文艺",这是一部精彩的科幻片，讲述了一个动人的故事。,73
item_28,悬疑片电影第28部,悬疑片,"热门,经典",这是一部精彩的悬疑片，讲述了一个动人的故事。,72
item_29,动画片电影第29部,动画片,"新上映,推荐",这是一部精彩的动画片，讲述了一个动人的故事。,71
item_30,纪录片电影第30部,纪录片,"高分,获奖",这是一部精彩的纪录片，讲述了一个动人的故事。,70
item_31,恐怖片电影第31部,恐怖片,"小众,文艺",这是一部精彩的恐怖片，讲述了一个动人的故事。,69
item_32,动作片电影第32部,动作片,"热门,经典",这是一部精彩的动作片，讲述了一个动人的故事。,68
item_33,喜剧片电影第33部,喜剧片,"新上映,推荐",这是一部精彩的喜剧片，讲述了一个动人的故事。,67
item_34,爱情片电影第34部,爱情片,"高分,获奖",这是一部精彩的爱情片，讲述了一个动人的故事。,66
item_35,科幻片电影第35部,科幻片,"小众,文艺",这是一部精彩的科幻片，讲述了一个动人的故事。,65
item_36,悬疑片电影第36部,悬疑片,"热门,经典",这是一部精彩的悬疑片，讲述了一个动人的故事。,64
item_37,动画片电影第37部,动画片,"新上映,推荐",这是一部精彩的动画片，讲述了一个动人的故事。,63
item_38,纪录片电影第38部,纪录片,"高分,获奖",这是一部精彩的纪录片，讲述了一个动人的故事。,62
item_39,恐怖片电影第39部,恐怖片,"小众,文艺",这是一部精彩的恐怖片，讲述了一个动人的故事。,61
item_40,动作片电影第40部,动作片,"热门,经典",这是一部精彩的动作片，讲述了一个动人的故事。,60
item_41,喜剧片电影第41部,喜剧片,"新上映,推荐",这是一部精彩的喜剧片，讲述了一个动人的故事。,59
item_42,爱情片电影第42部,爱情片,"高分,获奖",这是一部精彩的爱情片，讲述了一个动人的故事。,58
item_43,科幻片电影第43部,科幻片,"小众,文艺",这是一部精彩的科幻片，讲述了一个动人的故事。,57
item_44,悬疑片电影第44部,悬疑片,"热门,经典",这是一部精彩的悬疑片，讲述了一个动人的故事。,56
item_45,动画片电影第45部,动画片,"新上映,推荐",这是一部精彩的动画片，讲述了一个动人的故事。,55
item_46,纪录片电影第46部,纪录片,"高分,获奖",这是一部精彩的纪录片，讲述了一个动人的故事。,54
item_47,恐怖片电影第47部,恐怖片,"小众,文艺",这是一部精彩的恐怖片，讲述了一个动人的故事。,53
item_48,动作片电影第48部,动作片,"热门,经典",这是一部精彩的动作片，讲述了一个动人的故事。,52
item_49,喜剧片电影第49部,喜剧片,"新上映,推荐",这是一部精彩的喜剧片，讲述了一个动人的故事。,51
item_50,爱情片电影第50部,爱情片,"高分,获奖",这是一部精彩的爱情片，讲述了一个动人的故事。,50
item_51,科幻片电影第51部,科幻片,"小众,文艺",这是一部精彩的科幻片，讲述了一个动人的故事。,49
item_52,悬疑片电影第52部,悬疑片,"热门,经典",这是一部精彩的悬疑片，讲述了一个动人的故事。,48
item_53,动画片电影第53部,动画片,"新上映,推荐",这是一部精彩的动画片，讲述了一个动人的故事。,47
item_54,纪录片电影第54部,纪录片,"高分,获奖",这是一部精彩的纪录片，讲述了一个动人的故事。,46
item_55,恐怖片电影第55部,恐怖片,"小众,文艺",这是一部精彩的恐怖片，讲述了一个动人的故事。,45
item_56,动作片电影第56部,动作片,"热门,经典",这是一部精彩的动作片，讲述了一个动人的故事。,44
item_57,喜剧片电影第57部,喜剧片,"新上映,推荐",这是一部精彩的喜剧片，讲述了一个动人的故事。,43
item_58,爱情片电影第58部,爱情片,"高分,获奖",这是一部精彩的爱情片，讲述了一个动人的故事。,42
item_59,科幻片电影第59部,科幻片,"小众,文艺",这是一部精彩的科幻片，讲述了一个动人的故事。,41
item_60,悬疑片电影第60部,悬疑片,"热门,经典",这是一部精彩的悬疑片，讲述了一个动人的故事。,40
item_61,动画片电影第61部,动画片,"新上映,推荐",这是一部精彩的动画片，讲述了一个动人的故事。,39
item_62,纪录片电影第62部,纪录片,"高分,获奖",这是一部精彩的纪录片，讲述了一个动人的故事。,38
item_63,恐怖片电影第63部,恐怖片,"小众,文艺",这是一部精彩的恐怖片，讲述了一个动人的故事。,37
item_64,动作片电影第64部,动作片,"热门,经典",这是一部精彩的动作片，讲述了一个动人的故事。,36
item_65,喜剧片电影第65部,喜剧片,"新上映,推荐",这是一部精彩的喜剧片，讲述了一个动人的故事。,35
item_66,爱情片电影第66部,爱情片,"高分,获奖",这是一部精彩的爱情片，讲述了一个动人的故事。,34
item_67,科幻片电影第67部,科幻片,"小众,文艺",这是一部精彩的科幻片，讲述了一个动人的故事。,33
item_68,悬疑片电影第68部,悬疑片,"热门,经典",这是一部精彩的悬疑片，讲述了一个动人的故事。,32
item_69,动画片电影第69部,动画片,"新上映,推荐",这是一部精彩的动画片，讲述了一个动人的故事。,31
item_70,纪录片电影第70部,纪录片,"高分,获奖",这是一部精彩的纪录片，讲述了一个动人的故事。,30
item_71,恐怖片电影第71部,恐怖片,"小众,文艺",这是一部精彩的恐怖片，讲述了一个动人的故事。,29
item_72,动作片电影第72部,动作片,"热门,经典",这是一部精彩的动作片，讲述了一个动人的故事。,28
item_73,喜剧片电影第73部,喜剧片,"新上映,推荐",这是一部精彩的喜剧片，讲述了一个动人的故事。,27
item_74,爱情片电影第74部,爱情片,"高分,获奖",这是一部精彩的爱情片，讲述了一个动人的故事。,26
item_75,科幻片电影第75部,科幻片,"小众,文艺",这是一部精彩的科幻片，讲述了一个动人的故事。,25
item_76,悬疑片电影第76部,悬疑片,"热门,经典",这是一部精彩的悬疑片，讲述了一个动人的故事。,24
item_77,动画片电影第77部,动画片,"新上映,推荐",这是一部精彩的动画片，讲述了一个动人的故事。,23
item_78,纪录片电影第78部,纪录片,"高分,获奖",这是一部精彩的纪录片，讲述了一个动人的故事。,22
item_79,恐怖片电影第79部,恐怖片,"小众,文艺",这是一部精彩的恐怖片，讲述了一个动人的故事。,21
item_80,动作片电影第80部,动作片,"热门,经典",这是一部精彩的动作片，讲述了一个动人的故事。,20
item_81,喜剧片电影第81部,喜剧片,"新上映,推荐",这是一部精彩的喜剧片，讲述了一个动人的故事。,19
item_82,爱情片电影第82部,爱情片,"高分,获奖",这是一部精彩的爱情片，讲述了一个动人的故事。,18
item_83,科幻片电影第83部,科幻片,"小众,文艺",这是一部精彩的科幻片，讲述了一个动人的故事。,17
item_84,悬疑片电影第84部,悬疑片,"热门,经典",这是一部精彩的悬疑片，讲述了一个动人的故事。,16
item_85,动画片电影第85部,动画片,"新上映,推荐",这是一部精彩的动画片，讲述了一个动人的故事。,15
item_86,纪录片电影第86部,纪录片,"高分,获奖",这是一部精彩的纪录片，讲述了一个动人的故事。,14
item_87,恐怖片电影第87部,恐怖片,"小众,文艺",这是一部精彩的恐怖片，讲述了一个动人的故事。,13
item_88,动作片电影第88部,动作片,"热门,经典",这是一部精彩的动作片，讲述了一个动人的故事。,12
item_89,喜剧片电影第89部,喜剧片,"新上映,推荐",这是一部精彩的喜剧片，讲述了一个动人的故事。,11
item_90,爱情片电影第90部,爱情片,"高分,获奖",这是一部精彩的爱情片，讲述了一个动人的故事。,10
item_91,科幻片电影第91部,科幻片,"小众,文艺",这是一部精彩的科幻片，讲述了一个动人的故事。,9
item_92,悬疑片电影第92部,悬疑片,"热门,经典",这是一部精彩的悬疑片，讲述了一个动人的故事。,8
item_93,动画片电影第93部,动画片,"新上映,推荐",这是一部精彩的动画片，讲述了一个动人的故事。,7
item_94,纪录片电影第94部,纪录片,"高分,获奖",这是一部精彩的纪录片，讲述了一个动人的故事。,6
item_95,恐怖片电影第95部,恐怖片,"小众,文艺",这是一部精彩的恐怖片，讲述了一个动人的故事。,5
item_96,动作片电影第96部,动作片,"热门,经典",这是一部精彩的动作片，讲述了一个动人的故事。,4
item_97,喜剧片电影第97部,喜剧片,"新上映,推荐",这是一部精彩的喜剧片，讲述了一个动人的故事。,3
item_98,爱情片电影第98部,爱情片,"高分,获奖",这是一部精彩的爱情片，讲述了一个动人的故事。,2
item_99,科幻片电影第99部,科幻片,"小众,文艺",这是一部精彩的科幻片，讲述了一个动人的故事。,1
item_100,悬疑片电影第100部,悬疑片,"热门,经典",这是一部精彩的悬疑片，讲述了一个动人的故事。,0
